rank,feature,chi2_score,p_value
1,EDA_max,21.286382745948078,3.955312685505846e-06
2,EDA_q75,20.9673102854385,4.671873020403765e-06
3,EDA_rms,20.783289021601522,5.142977146263122e-06
4,EDA_mean,20.57217214764885,5.74248096975231e-06
5,EDA_median,19.951045229684347,7.94505096568749e-06
6,EDA_q25,18.442237824759637,1.7513273016531545e-05
7,EDA_iqr,13.77173140324486,0.0002064189833295817
8,EDA_energy,12.703433557546909,0.00036498479513952405
9,EDA_range,12.679858031829525,0.0003696156329463068
10,TEMP_energy,12.63363742703762,0.00037886726072788336
11,ACC_z_q25,9.738456966407956,0.0018045231525642927
12,EDA_std,9.17094869400519,0.002458870732927451
13,ACC_y_q75,8.618473220168054,0.0033277065560116804
14,ACC_z_median,8.234493387785728,0.0041101643609812565
15,TEMP_max,8.099876906369147,0.004426826483202152
16,ACC_z_energy,7.9704075759453765,0.004754823157915195
17,ACC_z_mean,7.718755653720846,0.005465005096041184
18,ACC_y_max,7.530397313022043,0.006066652689365532
19,TEMP_q75,7.350843067809299,0.006703131534246489
20,TEMP_rms,7.23455478569525,0.007151354216433664
21,TEMP_mean,7.20627204411845,0.00726492392639966
22,TEMP_median,6.864174123205966,0.008794088230791313
23,ACC_y_iqr,6.766011582927288,0.009291024339628669
24,TEMP_q25,6.75937453239235,0.009325644213754153
25,TEMP_min,6.684970916311837,0.009722910922399004
26,ACC_y_mean,6.651246486153564,0.009908648158736478
27,ACC_z_iqr,6.5986234842310525,0.010205763917321763
28,EDA_min,6.448911068770291,0.011102036710542834
29,ACC_z_std,5.669282974222293,0.017264511457008126
30,ACC_y_std,5.66125473425362,0.017343711071847935
31,ACC_y_energy,5.6397075179690095,0.01755813595252694
32,ACC_y_median,5.461603954978342,0.019438795223337486
33,ACC_x_iqr,4.7707227763831055,0.02894767034059305
34,ACC_z_rms,4.639130626864031,0.03125082984791087
35,ACC_x_std,4.530274351976352,0.03330027877759709
36,ACC_y_var,4.521560530098999,0.03347028917817886
37,EDA_total_power,4.494118453005431,0.03401164565483477
38,ACC_z_var,4.48450304293138,0.03420348923320052
39,ACC_y_range,4.458922804236941,0.034719385405558835
40,ACC_z_q75,4.365011275119722,0.03668424042692455
41,ACC_x_var,4.303724354392828,0.038029005806167054
42,ACC_z_min,3.9623824748306777,0.046527806654233804
43,HR_range,3.83562619671382,0.05017424575962094
44,BVP_spectral_centroid,3.693881784884569,0.05461237744804691
45,HR_std,3.5626392790435064,0.05909371044758375
46,ACC_y_q25,3.3225002900581146,0.06833782519378971
47,HR_iqr,3.2796218275991595,0.07014509018778618
48,EDA_peak_power,3.249739970975167,0.07143478952198727
49,ACC_mag_std,2.785222187055265,0.0951374979058354
50,ACC_mag_mean,2.6605203926550174,0.10286707475402242
51,ACC_y_rms,2.653948628868077,0.10329303233452453
52,ACC_mag_rms,2.5123409188280283,0.11295802630726749
53,ACC_mag_range,2.488378883562251,0.11468980413067167
54,BVP_var,2.4592555373648746,0.1168341447564554
55,BVP_energy,2.459250431797203,0.11683452453681242
56,ACC_mag_energy,2.364916518507043,0.12409055134320847
57,ACC_z_range,2.3360054023875185,0.1264133488028291
58,BVP_total_power,2.298141988076825,0.12952886105827358
59,ACC_mag_min,2.232108815166232,0.1351692500103324
60,BVP_kurtosis,2.221293422017528,0.1361189812718189
61,ACC_x_range,2.218115123255357,0.13639949536268225
62,ACC_mag_max,2.2176112347120682,0.13644402757871918
63,HR_max,2.201501136879248,0.13787641219389316
64,ACC_y_kurtosis,1.891650431633507,0.16901588674034157
65,ACC_mag_dominant_freq,1.8427749068321853,0.1746260591658052
66,EDA_dominant_freq,1.8154049987961223,0.17786120727962818
67,ACC_mag_kurtosis,1.7102332461963476,0.1909551107963542
68,HR_q75,1.6988398684023633,0.19243976692833809
69,HR_var,1.6678876629624508,0.19654170361244863
70,BVP_median,1.4917060575528551,0.22195194396131948
71,ACC_mag_var,1.4540451308826938,0.22787998452366381
72,ACC_x_energy,1.3991287528509435,0.23686950026292977
73,HR_energy,1.3457150001571458,0.24602862544023127
74,ACC_mag_q75,1.337894719536464,0.2474055801309436
75,HR_rms,1.3282804108359572,0.24911136498679307
76,HR_mean,1.308678754169422,0.2526340134889178
77,HR_median,1.2936886107822139,0.25536929784982404
78,ACC_mag_total_power,1.2853189430983825,0.25691240528603726
79,BVP_dominant_freq,1.2723145497528494,0.25933292064348645
80,ACC_mag_median,1.2360421072762622,0.2662352019232627
81,HR_dominant_freq,1.1961722488038278,0.2740880667698402
82,TEMP_peak_power,1.0869583380029413,0.2971461267468287
83,TEMP_total_power,0.9747304036138995,0.32350325665935875
84,ACC_x_q25,0.9400489557379871,0.33226525181231265
85,HR_q25,0.8711909409729326,0.3506258167394114
86,BVP_skewness,0.8544989464105506,0.35528271536136
87,ACC_x_min,0.8371835357873036,0.3602035253112691
88,BVP_range,0.82459756734703,0.3638393652743609
89,BVP_peak_power,0.822046838131518,0.3645823974066309
90,BVP_max,0.7896500243277943,0.3742059714285645
91,HR_peak_power,0.7199425230727422,0.396162763271547
92,ACC_mag_iqr,0.7191113582303263,0.3964355545245728
93,ACC_x_max,0.6827538441691545,0.4086400577378968
94,TEMP_var,0.6512018085828976,0.419683329105601
95,EDA_spectral_centroid,0.6288824710883273,0.4277655273298455
96,HR_min,0.6266807773272864,0.42857544689260807
97,EDA_var,0.5755271798684793,0.44807088365375036
98,HR_total_power,0.5550834811140775,0.45624799361256996
99,ACC_x_median,0.42925992372734534,0.5123523159756147
100,ACC_z_max,0.41488729841378547,0.5194992710418236
101,ACC_x_mean,0.3376598723682773,0.5611831124645046
102,ACC_y_min,0.2706522981141531,0.6028945405554055
103,BVP_std,0.2657966411689636,0.606165461219571
104,BVP_rms,0.265779602389176,0.6061770054666828
105,BVP_iqr,0.22425342886526095,0.6358179562117234
106,TEMP_spectral_centroid,0.21541203634375855,0.6425581753196392
107,ACC_x_kurtosis,0.21239954996716173,0.6448931272706879
108,TEMP_iqr,0.19882595687268617,0.6556701733126736
109,BVP_q75,0.15183202803043552,0.6967907186575418
110,TEMP_dominant_freq,0.1442767758557229,0.7040658001246748
111,EDA_skewness,0.14073939393217327,0.7075470583801081
112,TEMP_kurtosis,0.13760767063494347,0.7106709900775746
113,TEMP_std,0.13062768214592507,0.7177821223229499
114,ACC_y_skewness,0.12564383429387793,0.7229921225770841
115,ACC_x_rms,0.11708658126798968,0.7322160634776386
116,BVP_min,0.08509434442555404,0.7705088603363912
117,ACC_mag_peak_power,0.07799356085874032,0.7800351158802115
118,ACC_mag_spectral_centroid,0.06902210978938873,0.7927659435667691
119,ACC_z_kurtosis,0.059017692206827024,0.8080553082934125
120,ACC_mag_q25,0.043686834738072444,0.8344373421724567
121,HR_kurtosis,0.04321495479152021,0.8353210498568254
122,HR_spectral_centroid,0.04079864732512156,0.839927082371691
123,ACC_z_skewness,0.03112060615189876,0.8599715861574493
124,BVP_q25,0.0305877976664577,0.8611631800454036
125,ACC_mag_skewness,0.01599788502485818,0.8993498060860236
126,TEMP_range,0.01455540720362147,0.9039715967011893
127,ACC_x_q75,0.013996805769925357,0.9058235421344055
128,ACC_x_skewness,0.00616797434846268,0.9374013349705635
129,HR_skewness,0.0051312593943833,0.9428941289440701
130,TEMP_skewness,0.0038157358605546633,0.9507446860748487
131,EDA_kurtosis,0.001399965183623292,0.970153228849447
132,BVP_mean,2.20549177856925e-06,0.9988150701954048
133,ACC_mag_hf_power,,
134,BVP_hf_power,,
135,EDA_hf_power,,
136,HR_hf_power,,
137,TEMP_hf_power,,
