rank,feature,relieff_score
1,ACC_mag_median,0.10475836563329838
2,ACC_mag_mean,0.0897759074626305
3,TEMP_energy,0.06610015405110366
4,BVP_rms,0.06328767215389552
5,BVP_std,0.06326138693953605
6,TEMP_max,0.06210005203626487
7,TEMP_q75,0.06017722737504747
8,TEMP_mean,0.06012449310077104
9,TEMP_rms,0.06010783405068019
10,TEMP_q25,0.059783578090750265
11,TEMP_median,0.05977717033194792
12,TEMP_min,0.05892542341707451
13,EDA_spectral_centroid,0.05794566202686903
14,ACC_mag_rms,0.0506806551352929
15,BVP_min,0.05028967468844282
16,ACC_y_mean,0.05005501662730849
17,BVP_q25,0.04661562486487734
18,ACC_mag_energy,0.046448470954496925
19,ACC_x_mean,0.0463901006587349
20,ACC_x_q75,0.045808752888856635
21,BVP_range,0.045493035103367746
22,BVP_iqr,0.04530353402764781
23,BVP_q75,0.04473668348259094
24,ACC_x_median,0.044594980939305945
25,ACC_y_q75,0.044173651124456446
26,ACC_x_q25,0.043148909083490596
27,ACC_y_q25,0.04281944573295557
28,BVP_median,0.04264771248311746
29,ACC_y_median,0.041704933039347594
30,EDA_min,0.041499079061440715
31,EDA_rms,0.04139749021508707
32,EDA_q75,0.04058778700792761
33,EDA_mean,0.04043300516288163
34,ACC_y_max,0.040297654769014576
35,EDA_median,0.03917647431841019
36,EDA_max,0.037120658825333774
37,EDA_q25,0.036585046704082566
38,ACC_y_rms,0.03570786314517123
39,ACC_x_max,0.03507794726097713
40,ACC_x_min,0.03307807632387645
41,ACC_z_mean,0.029554521823467544
42,ACC_z_q75,0.029155596012812427
43,BVP_max,0.029047717781058816
44,BVP_spectral_centroid,0.027081240065346953
45,BVP_var,0.026367056014497153
46,BVP_energy,0.026360594101552844
47,ACC_z_q25,0.026095484498853763
48,BVP_total_power,0.025969079118790424
49,ACC_mag_spectral_centroid,0.024635446451550764
50,ACC_mag_q25,0.024625422513512633
51,ACC_x_energy,0.024212189575335354
52,EDA_dominant_freq,0.023774712643678073
53,ACC_z_median,0.023511951767997665
54,ACC_y_min,0.02288728533750064
55,HR_max,0.022124943687250462
56,ACC_mag_q75,0.021929567252560223
57,ACC_z_rms,0.021849803876881128
58,ACC_y_energy,0.021655367011412612
59,BVP_peak_power,0.021527560571194527
60,ACC_z_energy,0.020398590256958622
61,HR_rms,0.020001930960516872
62,HR_q75,0.01998510908293346
63,HR_mean,0.01977094152107911
64,ACC_x_rms,0.019313577196463722
65,EDA_range,0.019248077221884066
66,BVP_dominant_freq,0.01909128661475706
67,EDA_skewness,0.01855896004425472
68,HR_min,0.018379821232777392
69,HR_median,0.018340283601470234
70,HR_q25,0.017658757546006855
71,ACC_z_max,0.017282130781944263
72,ACC_z_min,0.017273375770751248
73,ACC_y_std,0.016266536674573485
74,BVP_skewness,0.015267288011083523
75,ACC_y_skewness,0.014896728625157724
76,HR_energy,0.014719621250137833
77,EDA_std,0.014491621697854224
78,ACC_mag_std,0.013549712261466252
79,ACC_mag_min,0.011882170015894245
80,ACC_y_var,0.011034429841500801
81,ACC_x_iqr,0.010916207156133707
82,ACC_mag_range,0.010873148698603789
83,ACC_x_std,0.009402110899707506
84,ACC_mag_max,0.009185584801112064
85,ACC_z_var,0.009050974038958567
86,EDA_energy,0.008846687475524523
87,ACC_x_range,0.008807294779268789
88,EDA_iqr,0.008439483841300888
89,TEMP_spectral_centroid,0.008368239972033382
90,BVP_kurtosis,0.00830403525817172
91,TEMP_range,0.008294980641773846
92,ACC_z_iqr,0.007794515148589224
93,ACC_z_std,0.007779251868295369
94,ACC_mag_total_power,0.0076176618948286
95,ACC_mag_var,0.007613442370581268
96,ACC_x_var,0.007125508417050321
97,ACC_y_iqr,0.007034236081279871
98,HR_total_power,0.007026984383162479
99,EDA_kurtosis,0.006933121075726477
100,HR_peak_power,0.006680447663571302
101,ACC_mag_skewness,0.006514147902482195
102,ACC_y_range,0.006477882702859389
103,ACC_z_range,0.006351613781501945
104,TEMP_std,0.00590578241327404
105,TEMP_iqr,0.005879940171305592
106,TEMP_skewness,0.005832007231580698
107,TEMP_kurtosis,0.00554026420720371
108,ACC_mag_iqr,0.005147747097361361
109,ACC_mag_kurtosis,0.004850653055485604
110,ACC_x_skewness,0.004569114890320214
111,ACC_mag_peak_power,0.002888301314560434
112,BVP_mean,0.0027142920350079172
113,ACC_z_skewness,0.0026814585835624196
114,HR_range,0.002112474650918889
115,HR_spectral_centroid,0.001954777870804007
116,ACC_y_kurtosis,0.0011706567520494875
117,TEMP_peak_power,0.0009794261859697741
118,TEMP_var,0.000857841529109744
119,ACC_mag_dominant_freq,0.0008120689655172351
120,HR_std,0.0007862207245210182
121,TEMP_total_power,0.0007469189221530538
122,HR_iqr,0.00019601581385321254
123,HR_dominant_freq,5.7471264367815975e-05
124,ACC_mag_hf_power,0.0
125,EDA_hf_power,0.0
126,TEMP_hf_power,0.0
127,HR_hf_power,0.0
128,BVP_hf_power,0.0
129,TEMP_dominant_freq,-0.00017471264367816073
130,HR_kurtosis,-0.0002635001108189953
131,ACC_x_kurtosis,-0.00036049032643045167
132,EDA_var,-0.0007161351602818866
133,HR_var,-0.0016179794964206083
134,ACC_z_kurtosis,-0.0027370503320069983
135,EDA_total_power,-0.003039555411439457
136,EDA_peak_power,-0.0034773575104757293
137,HR_skewness,-0.0050478615777387915
